iter	Passed	Remaining
0	8	8022
1	12	6052
2	15	5136
3	18	4596
4	22	4385
5	25	4182
6	28	4013
7	31	3895
8	34	3786
9	37	3712
10	41	3728
11	44	3654
12	47	3601
13	50	3558
14	53	3518
15	57	3541
16	60	3507
17	63	3479
18	66	3443
19	69	3419
20	73	3432
21	76	3421
22	79	3396
23	82	3375
24	86	3359
25	89	3347
26	92	3351
27	95	3332
28	99	3320
29	102	3305
30	105	3289
31	109	3307
32	112	3292
33	115	3277
34	118	3264
35	121	3252
36	125	3260
37	128	3250
38	131	3252
39	134	3236
40	137	3220
41	140	3214
42	144	3216
43	147	3204
44	150	3191
45	153	3178
46	156	3167
47	160	3184
48	163	3175
49	166	3162
50	169	3150
51	172	3142
52	176	3145
53	179	3136
54	182	3127
55	184	3116
56	187	3104
57	190	3098
58	193	3091
59	196	3082
60	199	3073
61	202	3065
62	205	3059
63	209	3057
64	212	3056
65	215	3048
66	218	3042
67	221	3039
68	224	3033
69	228	3035
70	231	3027
71	234	3019
72	237	3010
73	239	3003
74	243	3001
75	246	2995
76	249	2989
77	252	2982
78	255	2975
79	258	2967
80	261	2971
81	264	2964
82	267	2956
83	270	2948
84	273	2940
85	276	2934
86	279	2934
87	282	2926
88	285	2918
89	288	2912
90	290	2905
91	294	2909
92	297	2905
93	300	2900
94	303	2895
95	306	2889
96	310	2889
97	314	2890
98	316	2883
99	319	2877
100	322	2869
101	325	2866
102	329	2867
103	332	2862
104	335	2858
105	338	2852
106	341	2846
107	343	2840
108	347	2842
109	350	2836
110	353	2831
111	356	2826
112	359	2820
113	362	2817
114	365	2811
115	368	2804
116	371	2800
117	374	2796
118	376	2790
119	380	2793
120	383	2788
121	386	2782
122	389	2775
123	392	2770
124	395	2765
125	399	2768
126	401	2762
127	404	2756
128	407	2751
129	410	2747
130	414	2748
131	417	2743
132	420	2738
133	422	2733
134	425	2728
135	429	2725
136	432	2726
137	435	2720
138	438	2716
139	441	2712
140	444	2708
141	448	2707
142	451	2704
143	454	2699
144	456	2694
145	460	2692
146	463	2687
147	466	2687
148	469	2683
149	473	2681
150	476	2677
151	479	2672
152	482	2672
153	485	2667
154	488	2664
155	491	2659
156	494	2655
157	497	2650
158	501	2650
159	504	2646
160	506	2641
161	509	2637
162	512	2632
163	515	2628
164	518	2624
165	521	2620
166	524	2615
167	527	2611
168	530	2607
169	534	2607
170	537	2603
171	539	2599
172	542	2594
173	545	2590
174	548	2586
175	552	2586
176	555	2582
177	558	2577
178	560	2572
179	563	2568
180	567	2566
181	570	2562
182	573	2558
183	576	2555
184	579	2551
185	582	2547
186	585	2547
187	588	2542
188	591	2538
189	594	2534
190	597	2529
191	600	2526
192	603	2524
193	606	2519
194	609	2515
195	612	2511
196	615	2507
197	619	2507
198	621	2503
199	624	2499
200	627	2495
201	630	2491
202	633	2487
203	637	2486
204	640	2482
205	642	2477
206	645	2473
207	648	2469
208	652	2468
209	655	2465
210	658	2461
211	661	2456
212	663	2452
213	666	2449
214	670	2449
215	673	2444
216	676	2440
217	679	2436
218	681	2431
219	685	2429
220	688	2427
221	691	2423
222	694	2419
223	697	2414
224	700	2411
225	703	2410
226	706	2406
227	709	2402
228	712	2398
229	715	2395
230	718	2391
231	722	2390
232	724	2386
233	727	2382
234	730	2378
235	733	2375
236	736	2372
237	740	2369
238	743	2365
239	745	2361
240	748	2357
241	751	2353
242	755	2352
243	758	2348
244	760	2345
245	763	2341
246	766	2337
247	769	2334
248	774	2334
249	776	2330
250	779	2326
251	782	2322
252	785	2318
253	789	2318
254	792	2314
255	795	2310
256	797	2307
257	800	2303
258	804	2300
259	807	2298
260	810	2295
261	813	2291
262	816	2287
263	819	2284
264	823	2282
265	825	2279
266	828	2275
267	831	2272
268	834	2268
269	837	2265
270	841	2263
271	844	2259
272	847	2256
273	850	2252
274	852	2247
275	855	2244
276	858	2241
277	861	2237
278	864	2233
279	867	2230
280	870	2226
281	873	2224
282	877	2222
283	880	2219
284	883	2215
285	885	2211
286	888	2208
287	892	2206
288	895	2202
289	898	2198
290	900	2195
291	903	2191
292	907	2189
293	910	2186
294	913	2182
295	916	2178
296	918	2174
297	921	2171
298	925	2170
299	928	2166
300	931	2163
301	934	2159
302	937	2157
303	940	2154
304	944	2151
305	947	2148
306	950	2145
307	953	2141
308	956	2138
309	960	2136
310	963	2133
311	965	2129
312	968	2126
313	971	2123
314	974	2119
315	978	2117
316	981	2113
