Type de logement,Zonage (Classification),Façade (en pieds),Superficie du lot (pieds²),Type de route,Forme du lot,Topographie du terrain,Services publics disponibles,Configuration du lot,Inclinaison du terrain,Quartier,Proximité (1ère condition),Proximité (2e condition),Type de bâtiment,Style de maison,Qualité globale,État général,Style de toit,Matériau du toit,Revêtement extérieur (1),Revêtement extérieur (2),Type de parement en maçonnerie,Surface de parement (pieds²),Qualité extérieure,État extérieur,Type de fondation,Qualité du sous-sol,État général du sous-sol,Exposition du sous-sol,Type de finition sous-sol (1),Surface non finie sous-sol,Type de chauffage,Qualité du chauffage,Climatisation centrale,Système électrique,Surface finie basse qualité (pieds²),Chambres (hors sous-sol),Cuisines (hors sous-sol),Qualité de la cuisine,Total des pièces (hors sous-sol),Fonctionnalité globale,Nombre de cheminées,Qualité de la cheminée,Type de garage,Finition intérieure du garage,Capacité du garage (voitures),Qualité du garage,Allée pavée,Surface de la piscine (pieds²),Valeur des caractéristiques supplémentaires,Mois de vente,Type de vente,Condition de la vente,Prix de vente,Âge de la maison,Rénovation de la maison,Surface totale (pieds²),Surface totale,Total des salles de bain,Surface totale des porches (pieds²)
2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,65.0,8450,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,College Creek,Normale,Normale,Maison individuelle,Deux étages,Bon,Moyenne,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,196.0,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,150,Chauffage à gaz,Excellent,Oui,Disjoncteurs,0,3,1,Bon,8,Typ,0,Pas de cheminée,Attaché à la maison,Partiellement aménagé,2,Moyen,Pavé,0,0,Février,Acte de garantie - Conventionnel,Vente normale,12.24769911637256,5,5,2416,2566,3.5,61
1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,80.0,9600,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Double façade,Pente douce,Veenker,Proche d'une route secondaire,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Très bon,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0.0,Moyen,Moyen,CBlock,Bon,Moyen,Bonne exposition,Fini - Moyenne,284,Chauffage à gaz,Excellent,Oui,Disjoncteurs,0,3,1,Moyen,6,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,Partiellement aménagé,2,Moyen,Pavé,0,0,Mai,Acte de garantie - Conventionnel,Vente normale,12.109016442313738,31,31,2240,2524,2.5,298
2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,68.0,11250,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,College Creek,Normale,Normale,Maison individuelle,Deux étages,Bon,Moyenne,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,162.0,Bon,Moyen,PConc,Bon,Moyen,Exposition moyenne,Fini - Excellent,434,Chauffage à gaz,Excellent,Oui,Disjoncteurs,0,3,1,Bon,6,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,Partiellement aménagé,2,Moyen,Pavé,0,0,Septembre,Acte de garantie - Conventionnel,Vente normale,12.317171167298682,7,6,2272,2706,3.5,42
2 ÉTAGES 1945 ET PLUS ANCIEN,Résidentiel basse densité,60.0,9550,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Crawford,Normale,Normale,Maison individuelle,Deux étages,Bon,Moyenne,Pignon,Bardeau composite standard,Revêtement en bois,Bardeaux en bois,Aucune,0.0,Moyen,Moyen,BrkTil,Moyen,Bon,Aucune exposition,Fini - Moyenne,540,Chauffage à gaz,Bon,Oui,Disjoncteurs,0,3,1,Bon,7,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Détaché de la maison,Non aménagé,3,Moyen,Pavé,0,0,Février,Acte de garantie - Conventionnel,Vente anormale,11.849404844423074,91,36,1933,2473,2.0,307
2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,84.0,14260,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Double façade,Pente douce,Northridge,Normale,Normale,Maison individuelle,Deux étages,Très bon,Moyenne,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,350.0,Bon,Moyen,PConc,Bon,Moyen,Exposition au niveau moyen,Fini - Excellent,490,Chauffage à gaz,Excellent,Oui,Disjoncteurs,0,4,1,Bon,9,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,Partiellement aménagé,3,Moyen,Pavé,0,0,Décembre,Acte de garantie - Conventionnel,Vente normale,12.429220196836383,8,8,2853,3343,3.5,276
1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel basse densité,85.0,14115,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Mitchell,Normale,Normale,Maison individuelle,"Un étage et demi, aménagé",Moyenne,Moyenne,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0.0,Moyen,Moyen,Wood,Bon,Moyen,Aucune exposition,Fini - Excellent,64,Chauffage à gaz,Excellent,Oui,Disjoncteurs,0,1,1,Moyen,5,Typ,0,Pas de cheminée,Attaché à la maison,Non aménagé,2,Moyen,Pavé,0,700,Octobre,Acte de garantie - Conventionnel,Vente normale,11.870606902224587,16,14,2094,2158,2.5,390
1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,75.0,10084,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Somerset,Normale,Normale,Maison individuelle,Un étage,Très bon,Moyenne,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Pierre,186.0,Bon,Moyen,PConc,Excellent,Moyen,Exposition au niveau moyen,Fini - Excellent,317,Chauffage à gaz,Excellent,Oui,Disjoncteurs,0,3,1,Bon,7,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,Partiellement aménagé,2,Moyen,Pavé,0,0,Août,Acte de garantie - Conventionnel,Vente normale,12.634606283893019,3,2,3063,3380,3.0,312
2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,0.0,10382,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Northwest Ames,Proche d'un espace vert ou parc,Normale,Maison individuelle,Deux étages,Bon,Au-dessus de la moyenne,Pignon,Bardeau composite standard,Panneau dur,Panneau dur,Pierre,240.0,Moyen,Moyen,CBlock,Bon,Moyen,Exposition moyenne,Fini - Moyenne,216,Chauffage à gaz,Excellent,Oui,Disjoncteurs,0,3,1,Moyen,7,Typ,2,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,Partiellement aménagé,2,Moyen,Pavé,0,350,Novembre,Acte de garantie - Conventionnel,Vente normale,12.206077645517674,36,36,2981,3197,3.5,667
1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel densité moyenne,51.0,6120,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Vieille Ville,Proche d'une artère principale,Normale,Maison individuelle,"Un étage et demi, aménagé",Bon,Moyenne,Pignon,Bardeau composite standard,Brique apparente,Bardeaux en bois,Aucune,0.0,Moyen,Moyen,BrkTil,Moyen,Moyen,Aucune exposition,Non fini,952,Chauffage à gaz,Bon,Oui,Fusibles,0,2,2,Moyen,8,Min1,2,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Détaché de la maison,Non aménagé,2,Médiocre,Pavé,0,0,Avril,Acte de garantie - Conventionnel,Vente anormale,11.774527900858468,77,58,1774,2726,2.0,295
CONVERSION 2 FAMILLES - TOUS STYLES ET ÂGES,Résidentiel basse densité,50.0,7420,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Brookside,Proche d'une artère principale,Proche d'une artère principale,Conversion deux familles,"Un étage et demi, non aménagé",Moyenne,Au-dessus de la moyenne,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0.0,Moyen,Moyen,BrkTil,Moyen,Moyen,Aucune exposition,Fini - Excellent,140,Chauffage à gaz,Excellent,Oui,Disjoncteurs,0,2,2,Moyen,5,Typ,2,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,Partiellement aménagé,1,Bon,Pavé,0,0,Janvier,Acte de garantie - Conventionnel,Vente normale,11.678448377988165,69,58,1928,2068,2.0,4
